builtin,status,class
__metal_get_candidate_instance_count_intersection_query,generated,_intersection_query_instancing_ext
__metal_get_committed_instance_count_intersection_query,generated,_intersection_query_instancing_ext
__metal_get_curve_parameter_intersection_result,generated,_intersection_result_ref_curve_data_ext
__metal_get_distance_intersection_result,generated,intersection_result_ref
__metal_get_geometry_id_intersection_result,generated,intersection_result_ref
__metal_get_instance_count_intersection_result,generated,_intersection_result_ref_instancing_ext
__metal_get_instance_id_intersection_result,generated,_intersection_result_ref_instancing_ext
__metal_get_object_to_world_transform_intersection_result,generated,_intersection_result_ref_world_space_data_ext
__metal_get_primitive_id_intersection_result,generated,intersection_result_ref
__metal_get_ray_direction_intersection_result,generated,intersection_result_ref
__metal_get_ray_min_distance_intersection_result,generated,intersection_result_ref
__metal_get_ray_origin_intersection_result,generated,intersection_result_ref
__metal_get_triangle_barycentric_coord_intersection_result,generated,_intersection_result_ref_triangle_data_ext
__metal_get_user_instance_id_intersection_result,generated,_intersection_result_ref_instancing_ext
__metal_get_world_to_object_transform_intersection_result,generated,_intersection_result_ref_world_space_data_ext
__metal_is_triangle_front_facing_intersection_result,generated,_intersection_result_ref_triangle_data_ext
__metal_set_visible_function_table_intersection_function_table,generated,intersection_function_table
__metal_compute_pipeline_state_t,generated,type_passthrough
__metal_depth_stencil_state_t,generated,type_passthrough
__metal_intersection_function_table_t,generated,type_passthrough
__metal_intersection_result_t,generated,type_passthrough
__metal_render_pipeline_state_t,generated,type_passthrough
__metal_tensor_t,generated,type_passthrough
__metal_visible_function_table_t,generated,type_passthrough
